Gene,p_val_high_vs_low,avg_logFC_high_vs_low,pct_1_high_vs_low,pct_2_high_vs_low,p_val_adj_high_vs_low
DKK1,0.078396921363833,-0.05090845472126443,0.23,0.217,1.0
BOLA3,0.07841375214658743,-0.02694959182616735,0.366,0.385,1.0
KLHDC8B,0.0784871816406842,-0.0035290596548501786,0.021,0.026,1.0
AKT1S1,0.07857196449792049,-0.008590167527561698,0.245,0.262,1.0
EPN2,0.0785904880090653,-0.00928486608760394,0.084,0.095,1.0
URB1,0.0786312680879417,0.007507370610925771,0.036,0.028,1.0
SIRT5,0.07871045340077482,0.0013883421464523232,0.055,0.056,1.0
TRAIP,0.07872009911020322,0.005313729491472185,0.011,0.006,1.0
ZDHHC17,0.07874360029887832,-0.010439585062089765,0.038,0.049,1.0
TRMU,0.07875365887248359,0.00484232677360754,0.066,0.063,1.0
FOSL1,0.07877529391871174,0.03849645834175919,0.327,0.312,1.0
DGAT2,0.07879830046841067,-0.0062110007809106586,0.011,0.018,1.0
COX19,0.07895870485265423,0.007384562615404017,0.228,0.228,1.0
FZD3,0.07901018896455778,-0.0052359928424057685,0.011,0.016,1.0
SIRPG,0.07901552906416953,0.0036645222978038553,0.006,0.003,1.0
IGHV3-13,0.07901860955184897,-0.0036480006125043252,0.002,0.005,1.0
PRKCQ,0.07904158554570546,-0.0026465115469160526,0.003,0.006,1.0
TM2D2,0.07907733077864378,0.013999789325032985,0.089,0.077,1.0
LRCH3,0.07908757948744918,-0.013939729842730321,0.057,0.071,1.0
CA8,0.07914774338305991,0.005894206847644506,0.028,0.021,1.0
TMEM140,0.07925628017022326,-0.007099507196215715,0.02,0.028,1.0
AC090181.2,0.0792845348099301,0.0046566310361619715,0.009,0.004,1.0
VSIG4,0.07937939611226127,0.001009359768787835,0.006,0.004,1.0
FASN,0.07941467722657665,0.008052940118779287,0.104,0.101,1.0
WDR53,0.07944301869414898,0.007849289264242311,0.033,0.025,1.0
AC026979.2,0.07947517023798988,0.0020089951993745477,0.019,0.019,1.0
NDUFA7,0.079496286470549,-0.019079925928821184,0.38,0.407,1.0
EXOC3L4,0.07949969648986725,0.004972844449851136,0.015,0.01,1.0
CRTAP,0.07950304899799854,-0.014963887862010306,0.12,0.138,1.0
HDHD2,0.07959441548485342,-0.010682063404896358,0.045,0.055,1.0
CDC27,0.07960916117915207,2.4307054493824531E-4,0.111,0.114,1.0
HCG9,0.079716714693325,-6.614445284382835E-4,0.002,0.001,1.0
Z99289.3,0.07976564145221876,-0.0071956475359472825,0.011,0.018,1.0
GRIN2D,0.07979606987217065,0.00564075546867918,0.013,0.007,1.0
FUT1,0.07979606987223868,0.00564075546867918,0.013,0.007,1.0
TTF1,0.07981031803606962,-0.016493563899827396,0.116,0.135,1.0
ZC3H14,0.07984625700544812,-0.012931412333240452,0.104,0.119,1.0
AC087190.1,0.07989634994575584,0.007587138486450498,0.02,0.013,1.0
ALDH3A2,0.07993000520158375,0.01823277371277318,0.137,0.118,1.0
VPS9D1,0.07999027403738844,0.007575102560069746,0.023,0.015,1.0
XXYLT1-AS2,0.08002559622939781,0.003665405290752562,0.006,0.002,1.0
RSPH14,0.08006789590450226,-0.004301866998579935,0.003,0.007,1.0
CDK2AP1,0.08009779497513705,-0.015363517301853091,0.241,0.263,1.0
ZNF131,0.08014267606572278,0.00932095431949892,0.136,0.132,1.0
AF127577.3,0.08015488414628566,-3.2883185282905187E-4,0.002,0.001,1.0
FKTN,0.08019710839373634,-0.007420115147816795,0.022,0.03,1.0
DIS3L,0.0802282664726235,-0.002470871426045698,0.039,0.043,1.0
YTHDF3-AS1,0.08023253963358765,0.0023360597975478,0.036,0.035,1.0
NME7,0.08027515242037414,-0.005708077128760855,0.109,0.119,1.0
IPO4,0.08028043682239132,-0.01250241293159865,0.049,0.063,1.0
OTUB2,0.08032198944189399,-0.004595804895880799,0.008,0.013,1.0
IL17RD,0.0803219894419168,-0.004595804895880799,0.008,0.013,1.0
APOBEC3D,0.08036215962937958,-0.007038503765489854,0.026,0.035,1.0
CUEDC1,0.08038941652059767,-0.012123506081570465,0.076,0.09,1.0
KIAA2013,0.08045250227036181,-0.01190444747897651,0.092,0.106,1.0
MYH11,0.08045460855904649,-0.009769437287352186,0.014,0.022,1.0
LINC00964,0.08048784095998095,0.0030016172264422,0.004,0.001,1.0
AL008718.3,0.08048784095999009,0.0030016172264422,0.004,0.001,1.0
AP002954.2,0.08048784096001411,0.0030016172264422,0.004,0.001,1.0
C10orf113,0.08048784096007244,0.0030016172264422,0.004,0.001,1.0
AC018926.2,0.08060349529639463,-0.004568455548996653,0.012,0.017,1.0
GLYCTK,0.08060349529640379,-0.004568455548996653,0.012,0.017,1.0
SPG11,0.08061238719917821,-0.014794980132635777,0.079,0.095,1.0
FBXL12,0.08063787936793734,-0.005482588320250052,0.061,0.069,1.0
GSTM4,0.08064152489606446,-0.012029710004485952,0.036,0.048,1.0
PHF12,0.08089847310874702,-0.010522828377992628,0.056,0.068,1.0
CCNT2-AS1,0.08094068373614244,-0.003626197016870286,0.005,0.009,1.0
PLCXD2,0.08102978684993199,-0.004163800590359864,0.022,0.028,1.0
ODAM,0.0811122672861274,-0.006307611039574378,0.001,0.003,1.0
CNOT11,0.08112991191493943,0.012921369583829556,0.106,0.095,1.0
EZH1,0.0811410791010658,-0.012290592061391263,0.042,0.054,1.0
USB1,0.08117401790863278,0.014409855728923338,0.109,0.096,1.0
CA5B,0.08119944139477682,-0.009659545219072925,0.024,0.033,1.0
MON1B,0.08125519166608108,0.011296119741864459,0.047,0.036,1.0
LIN7C,0.0813101105451447,0.002032523598525765,0.096,0.097,1.0
SMIM4,0.08133038897783962,-0.009763836978138055,0.112,0.125,1.0
RNF208,0.08134668304015139,0.0078457156085174,0.033,0.026,1.0
S100A3,0.08140358622382189,-0.002860444263789088,0.026,0.027,1.0
UBR7,0.08145599965864252,0.0036168796972702796,0.042,0.04,1.0
NUDT6,0.0814736174748165,0.0036164697035924037,0.043,0.041,1.0
TATDN2,0.08148904822729637,0.002979974823016228,0.036,0.035,1.0
FAM219A,0.08152454842108516,-0.007799714404022311,0.017,0.024,1.0
HNRNPA1P48,0.08153701940755635,0.00902504794834448,0.099,0.092,1.0
PEA15,0.08161141768299363,0.017168380573166664,0.144,0.13,1.0
APLNR,0.08172351595206352,-0.002659787395823985,0.001,0.003,1.0
