Gene,p_val_high_vs_low,avg_logFC_high_vs_low,pct_1_high_vs_low,pct_2_high_vs_low,p_val_adj_high_vs_low
TACSTD2,8.887485579449631E-134,0.6499797203065698,0.839,0.799,2.1428616480611007E-129
SPP1,3.1137212109303656E-122,0.9223193252499053,0.607,0.41,7.507493211674205E-118
ELF3,8.802942008066584E-120,0.5076999713056747,0.801,0.678,2.122477347564934E-115
FXYD3,2.2378484532232447E-118,0.7076752470476775,0.813,0.726,5.395676405566565E-114
AQP3,3.7225334075296215E-112,0.5778114332202166,0.493,0.241,8.97540029889467E-108
NQO1,9.103961700013757E-112,0.6124663154237967,0.585,0.4,2.195056205490317E-107
CSTA,1.255110407899953E-111,0.5901227246996668,0.488,0.267,3.026196704487576E-107
EEF1A1,2.294344033358302E-110,-0.3221664765396204,0.998,0.999,5.531892898830202E-106
AKR1C2,2.957329985590246E-110,0.7882232561457025,0.536,0.379,7.130418328256642E-106
CYBA,1.517051686568129E-105,0.39107391253676393,0.837,0.68,3.657763321484416E-101
LY6E,1.57347528378045E-105,0.5734789915842056,0.793,0.764,3.7938062567230434E-101
ALDH3A1,7.212712764123166E-104,0.8170838725996876,0.508,0.31,1.7390571745577365E-99
CTSD,1.720869231893198E-103,0.40402166117511995,0.804,0.739,4.14918780501769E-99
GSTP1,3.81204121805937E-103,0.4591341684947605,0.921,0.859,9.191212580862947E-99
CDH11,8.270278049700673E-101,-0.3605171121128683,0.075,0.26,1.994046740563329E-96
RPS12,6.194542030286198E-95,-0.28387810444041994,0.997,0.993,1.4935660289223052E-90
CLDN4,5.919227559389378E-93,0.5201502876777027,0.806,0.788,1.427184956844373E-88
S100A6,4.339968347417494E-92,0.4371455694858941,1.0,0.999,1.046409768245832E-87
TSPAN1,8.581035924441487E-92,0.431495260674837,0.658,0.543,2.068973571742087E-87
CALML5,1.462408033570294E-91,0.4200200652718359,0.241,0.062,3.5260120097413356E-87
PRDX1,8.037253695540698E-91,0.49752369461662327,0.862,0.754,1.9378622385318175E-86
ITPR2,4.967635226828276E-90,-0.30215313097061436,0.083,0.266,1.1977465295405656E-85
RPL36,8.976476998361654E-90,-0.2978668219719478,0.998,0.997,2.1643183690749783E-85
SLPI,3.217304143557083E-88,0.5319954559231155,0.88,0.802,7.757242020530483E-84
TALDO1,4.884322412896595E-88,0.35503747907449124,0.715,0.608,1.177658976973498E-83
PMEPA1,5.772584346100068E-87,-0.5627287360207599,0.309,0.499,1.3918278116881875E-82
CST3,3.432495044406052E-86,0.3049555356638092,0.907,0.856,8.276088801567433E-82
GPX2,4.3219888085457664E-86,0.46381651963545234,0.532,0.353,1.0420747216284697E-81
EEF2,6.003361051839255E-86,-0.38281240960308094,0.74,0.875,1.447470383208963E-81
COX6A1,2.874301357747963E-85,0.23350700667821322,0.932,0.913,6.930228003666114E-81
AGR2,4.9123394630404056E-85,0.5579995407104326,0.644,0.453,1.1844141679336722E-80
RPL23,9.163163607052037E-85,-0.2248151045424991,0.983,0.991,2.2093303772963164E-80
AKR1C1,1.4373792064393848E-84,0.5288618203933995,0.565,0.365,3.465665004646001E-80
RPS6,1.2542286411807472E-82,-0.2608262207837311,0.987,0.989,3.0240706767508996E-78
ADIRF,4.3165464822356735E-82,0.4515965280769394,0.69,0.626,1.0407625223318432E-77
COX6C,4.773327671019835E-82,0.2525410487168569,0.956,0.961,1.1508970347595925E-77
EEF1B2,6.168324040764942E-82,-0.24583518108479563,0.9,0.937,1.4872446094688353E-77
RPS28,1.9329012033030506E-81,-0.34074673841753844,0.998,0.995,4.660418091283985E-77
S100A9,3.5570561375819218E-81,0.6480275278201055,0.565,0.335,8.576418053323772E-77
SVIL,4.488330884504418E-81,-0.40099051832844196,0.27,0.406,1.0821814595628601E-76
TNC,1.257504993196658E-80,-0.34493192941350154,0.077,0.24,3.031970289096462E-76
TXN,3.1692700729801604E-80,0.4096047790189301,0.964,0.982,7.641427072962464E-76
DUSP6,7.039182386226224E-80,-0.41859431747756704,0.241,0.406,1.697217265143005E-75
VAMP8,8.042436664201873E-80,0.23187988685419447,0.835,0.789,1.9391119041057138E-75
LY6D,8.658331564849396E-79,0.8291462725530612,0.525,0.379,2.087610323600838E-74
RPL10,3.825500084481871E-78,-0.29980909611897966,0.999,0.999,9.22366325369424E-74
RPL32,2.491760950311493E-77,-0.23671315904352142,0.998,0.999,6.00788482729604E-73
RPS27,4.9899440776345225E-76,-0.3121406106295628,0.998,0.997,1.2031254165584597E-71
RPL4,1.2324552808111536E-75,-0.23244237013550895,0.974,0.98,2.9715729275637724E-71
FTX,2.9212161988266734E-74,-0.38652373637672494,0.208,0.377,7.043344376990992E-70
MGST1,3.2529286643953602E-74,0.4415455903324428,0.763,0.676,7.843136302723653E-70
S100A11,1.9112488759563156E-73,0.33065020633796083,0.994,0.99,4.6082121648182724E-69
RPS18,2.4867972096352124E-73,-0.24564095893990467,1.0,1.0,5.995916752151461E-69
RPL27A,4.294198789287966E-72,-0.2368695190147747,0.999,0.999,1.0353742700852215E-67
RPL12,6.620086702770933E-72,-0.23062631953675128,0.998,0.997,1.5961691049050997E-67
LTBP2,7.019376806598873E-72,-0.1967190577442219,0.062,0.213,1.692441941839054E-67
ITGA2,7.890247350667437E-72,-0.372197120391176,0.275,0.42,1.9024175387194256E-67
WFDC2,8.941602194890688E-72,0.5982426416030009,0.657,0.544,2.1559097052100938E-67
ENAH,1.840513304559354E-71,-0.2775880218432936,0.234,0.407,4.4376616286230585E-67
DPYSL3,2.0108662381607637E-71,-0.2512426963130682,0.08,0.24,4.8483995868294176E-67
PALM2-AKAP2,3.621674201591587E-71,-0.21444865101372637,0.077,0.24,8.732218667457476E-67
S100P,5.3763425507219756E-71,0.571017934138017,0.6,0.422,1.2962899524045755E-66
MRC2,1.826262073288267E-70,-0.26820973041124585,0.094,0.26,4.40330048490534E-66
RASSF6,1.9316426692494892E-70,-0.23221953718502164,0.076,0.23,4.6573836398274436E-66
ATP6V0E1,5.274614409821988E-70,0.22601048634441812,0.83,0.808,1.2717622803521795E-65
MMP2,1.1009545234021958E-69,-0.21099732605888954,0.049,0.192,2.6545114513750343E-65
VGLL4,2.0514935708150915E-69,-0.26324268692762787,0.192,0.368,4.946356148592267E-65
COL4A2,4.0282914463541667E-69,-0.3640263222968739,0.162,0.331,9.71261350630453E-65
ARPC3,9.721601235791298E-69,0.2173677374996127,0.854,0.823,2.3439752739616398E-64
EGFR,1.4912184107186444E-68,-0.26227239476491315,0.159,0.335,3.5954767100837235E-64
C1R,6.3545795574715955E-68,-0.36170300665631966,0.215,0.39,1.5321526771019765E-63
ADGRF1,7.4055290981975E-68,0.24682324036396025,0.307,0.125,1.785547120866399E-63
MALAT1,1.010638576045164E-67,-0.2748948813105194,0.995,0.999,2.436750670702495E-63
VIM,7.137541414063207E-67,-0.3465242348644182,0.431,0.652,1.7209326103447799E-62
COL6A2,2.247338060658915E-66,-0.3564324220790397,0.149,0.322,5.41855679805471E-62
COMT,5.22904963850753E-66,0.20037996045770778,0.633,0.571,1.2607761583405505E-61
NAP1L1,7.547150901328874E-66,-0.21182429289895233,0.668,0.838,1.8196935538194048E-61
NEDD9,2.759529653069024E-65,-0.31023897312204257,0.239,0.408,6.653501946514724E-61
MGST2,5.902959349916249E-65,0.22841647078506722,0.545,0.362,1.4232625288583068E-60
EPHX1,6.51337105863241E-65,0.28071164144470323,0.508,0.361,1.5704388959468605E-60
CCND2,7.457365318069435E-65,-0.24772035699534628,0.062,0.203,1.7980453518397215E-60
FABP5,8.988964823903849E-65,0.6165443409341056,0.642,0.502,2.167329308691457E-60
EEF1G,1.819792816903702E-64,-0.254104383380648,0.975,0.981,4.3877024608365157E-60
ZFP36L1,3.710909261031687E-64,-0.3230538086744241,0.498,0.687,8.947373319273501E-60
CSTB,3.725488677610288E-64,0.3281779761170045,0.906,0.901,8.982525750586165E-60
FN1,1.2170561149234656E-63,-0.5925709280217673,0.183,0.342,2.934443998691968E-59
FILIP1L,3.4069431540539783E-63,-0.2390436106689272,0.067,0.21,8.214480638739548E-59
RPL36A,4.2437392325028743E-63,-0.19868023787989753,0.997,0.992,1.023207966348768E-58
PEG10,5.976079309056666E-63,-0.32071584520926155,0.119,0.281,1.4408924822066527E-58
PSCA,1.1278126764589452E-62,0.8335054762866148,0.529,0.383,2.7192691442101627E-58
RPL13A,1.2107860232452786E-62,-0.25354194885675074,1.0,1.0,2.919326180646691E-58
ETFB,2.6928250193555983E-62,0.30926450006702844,0.726,0.615,6.492670404168283E-58
LGALS3,1.344809906066773E-61,0.32743571615416744,0.905,0.893,3.2424711645175964E-57
SMIM22,1.6896943247941452E-61,0.26447962371413414,0.748,0.594,4.0740219865111637E-57
SNCG,2.043618955245553E-61,0.38204683320298694,0.623,0.573,4.927369662992553E-57
ANXA1,2.423569459472256E-61,0.4725290013144392,0.752,0.717,5.843468323733557E-57
KRT6A,2.6182866431739582E-61,-0.5365724677493093,0.399,0.343,6.31295092535673E-57
RPS8,7.925087924178751E-61,-0.20275771755433203,0.998,0.998,1.9108179493987387E-56
VCAN,3.151368886002837E-60,-0.28497079220782107,0.064,0.202,7.59826552104144E-56
CAVIN1,1.4441274314091832E-59,-0.20173560332578128,0.207,0.401,3.481935649870682E-55
RPL41,2.7860596777414115E-59,-0.24184638289097027,1.0,0.999,6.717468489002317E-55
RPS4X,2.8378029311491964E-59,-0.26285205685704005,0.998,0.997,6.842226647293827E-55
ANKRD36C,5.037585420500377E-59,0.3935078595638415,0.426,0.238,1.2146122207368457E-54
CLDN10,1.6025529239573242E-58,0.050403786914675064,0.369,0.223,3.863915354953504E-54
SFN,1.7738470174342564E-58,0.4756919731912399,0.72,0.593,4.276922543735736E-54
AGR3,2.3695105263560722E-58,0.4843431351889088,0.445,0.271,5.713126830097126E-54
AKR1B10,2.602330209406115E-58,0.473454015440515,0.506,0.324,6.274478367899084E-54
ZKSCAN1,6.1894835561629044E-58,-0.20184429080890595,0.197,0.385,1.4923463802264379E-53
RPL39,1.1706662650893841E-57,-0.19982451466077222,0.998,0.998,2.822593431757014E-53
CES1,1.3489348317255623E-57,0.3648589736187033,0.399,0.239,3.2524167727735033E-53
TTC3,2.3456962445830925E-57,-0.19579610302304903,0.206,0.391,5.655708215314294E-53
RRAD,3.357517637793079E-57,-0.35769929055180605,0.088,0.232,8.095310776482893E-53
CCDC14,4.5738962715778573E-57,-0.18550438357744253,0.106,0.259,1.1028121300401372E-52
IFI6,1.0267963151979718E-56,0.4855975884239523,0.472,0.291,2.4757085955738297E-52
RPL26,1.042133935106125E-56,-0.2282998166182999,0.99,0.993,2.5126891309343783E-52
C15orf48,1.1318725593985783E-56,0.4757753524760046,0.335,0.16,2.7290579279659124E-52
GLUL,1.1361145272994815E-56,0.3918058285725815,0.626,0.489,2.73928573677178E-52
COX4I1,1.6161272606451712E-56,0.20947477698857808,0.898,0.894,3.896644438141572E-52
UPK3BL1,2.699855358008628E-56,0.27968244469792586,0.377,0.206,6.509621253694603E-52
MFAP2,5.822555658000716E-56,-0.1531210736449742,0.051,0.175,1.4038763947005525E-51
AKR1C3,8.792787713656561E-56,0.39607879635564913,0.669,0.533,2.1200290456397333E-51
NTM,9.405567273056674E-56,-0.14642475634431354,0.037,0.154,2.2677763252066946E-51
CXCL17,9.832327880578997E-56,0.19806710320098947,0.202,0.066,2.370672575286402E-51
RPL37,1.4204245436774374E-55,-0.18268631777633004,0.998,0.998,3.424785617260669E-51
SERF2,1.7249224790800833E-55,0.2207362146687748,0.997,0.998,4.1589605893099886E-51
COX7B,2.5142332723428142E-55,0.18618633494992953,0.884,0.881,6.062067842945759E-51
RPS3,2.5978784363538157E-55,-0.2296971899214877,0.996,0.997,6.263744697892686E-51
G6PD,6.859136415959898E-55,0.31197976295792695,0.518,0.327,1.653806381252091E-50
HSBP1,1.5911591203895037E-54,0.22670448738538307,0.771,0.669,3.8364437551711325E-50
SKIL,1.9691639821530978E-54,-0.3173937855211259,0.275,0.37,4.747851277369334E-50
RPL38,2.969092394442965E-54,-0.22312886309627067,0.974,0.99,7.158778672241433E-50
PTPN14,5.647900271569806E-54,-0.20427046230677365,0.134,0.267,1.361765234478196E-49
GOPC,9.484392175894614E-54,-0.16293570221561154,0.089,0.227,2.28678179752995E-49
COX17,3.485293423603663E-53,0.21599057827015766,0.693,0.605,8.403390973650792E-49
RPL15,3.97082424283702E-53,-0.2640505170703564,0.997,0.994,9.574054331904338E-49
RPLP1,2.159861958250463E-52,-0.2164574317779029,1.0,1.0,5.207643167537691E-48
MEIS2,2.191402738962409E-52,-0.2439376797999706,0.225,0.406,5.283691143912264E-48
ARL6IP1,3.1564558695292393E-52,0.3898206073624155,0.64,0.556,7.610530747021949E-48
RPL14,4.018099975333207E-52,-0.17058427145505295,0.989,0.989,9.688040850525895E-48
SQSTM1,4.1141750377773535E-52,0.2713850712163999,0.725,0.68,9.919687433584977E-48
COL4A1,4.416122586810032E-52,-0.32648045835653333,0.13,0.279,1.0647713169057668E-47
COX6B1,8.733440216156889E-52,0.1770835423699222,0.952,0.974,2.1057197705175875E-47
TMBIM6,9.182971110748309E-52,0.20564298890347965,0.88,0.838,2.2141061645125246E-47
PLAUR,2.5933876187180327E-51,0.40296250374754167,0.456,0.305,6.252916887491048E-47
LIPH,3.217714726350913E-51,0.20645890933159056,0.387,0.211,7.7582319767046855E-47
SKP1,3.392617959624826E-51,0.1845656329645231,0.867,0.872,8.179941162451418E-47
S100A4,4.065545644395158E-51,0.34277655559438136,0.655,0.461,9.802437103201166E-47
COX5B,5.838895161257384E-51,0.14175628508484128,0.894,0.919,1.4078160123307679E-46
RPL28,1.4914415511945247E-50,-0.17424734694333344,0.999,0.998,3.596014724085118E-46
BASP1,1.9535715182549193E-50,-0.1876069703845472,0.11,0.256,4.7102562876644356E-46
ENSA,2.1341048261548287E-50,0.17751080222464072,0.603,0.494,5.145540146341908E-46
MARCKS,2.7330004746007073E-50,-0.3251449276160484,0.445,0.54,6.589537444309765E-46
KLK6,8.014901405600591E-50,0.32049944707994077,0.33,0.17,1.9324728779043586E-45
LCN2,9.258882712437835E-50,0.4524639074870397,0.446,0.274,2.2324092107958863E-45
KLK8,9.635738129337422E-50,0.24099432667889417,0.327,0.169,2.3232728203645457E-45
NDUFA2,1.0045775175595546E-49,0.17004158770770317,0.682,0.612,2.422136852587842E-45
LGALS4,1.068853932483886E-49,-0.35767214231530103,0.17,0.253,2.5771137166118976E-45
DMKN,1.242546613270853E-49,-0.16952327619414942,0.532,0.717,2.995904139257354E-45
PGM2L1,1.3568966115348173E-49,-0.26495568271866454,0.168,0.305,3.271613420071598E-45
TMEM50A,8.490636709753292E-49,0.1840542528202755,0.541,0.39,2.0471774170886164E-44
TRAM2,2.4156354439642818E-48,-0.09609378383081718,0.018,0.107,5.82433861894228E-44
CLEC2B,2.985521579204463E-48,0.2464036876658504,0.37,0.203,7.198391079619881E-44
NNMT,3.481556422157754E-48,-0.4021583029667682,0.133,0.266,8.394380689464561E-44
ATRX,3.899453265564626E-48,-0.2456888918329595,0.28,0.432,9.40197176860287E-44
NDUFA3,3.947531894523603E-48,0.14463854004069365,0.773,0.776,9.517894150885859E-44
DCBLD2,4.0709088460579344E-48,-0.1923167564917946,0.155,0.314,9.815368318730286E-44
ATP6V0C,4.352657512720114E-48,0.16197761025178092,0.824,0.803,1.0494692528919468E-43
COL6A1,4.487644203843196E-48,-0.26139047013311945,0.184,0.341,1.082015893988633E-43
DHRS9,4.7402049321029675E-48,0.28900700981738,0.326,0.177,1.1429108111793465E-43
ANTXR1,5.3551015428021516E-48,-0.12780259003518382,0.043,0.151,1.2911685329850268E-43
MAML2,7.32624106192165E-48,-0.19470928534384074,0.141,0.274,1.7664299824399292E-43
PGD,1.4014738558753056E-47,0.2789157184450234,0.507,0.348,3.3790936139009494E-43
C1S,1.6500174683933332E-47,-0.2705153713826721,0.165,0.314,3.978357118043166E-43
ATP5IF1,2.317202620049195E-47,0.21402162799442503,0.723,0.661,5.587007237200614E-43
REEP5,2.7289506118839797E-47,0.19503238644368992,0.634,0.516,6.579772820313463E-43
RPL37A,3.3284763050364203E-47,-0.16809607204904742,0.999,0.998,8.025289219073313E-43
AKAP9,3.52211222206121E-47,-0.24794109416661925,0.342,0.517,8.492164778611783E-43
ELOB,4.083666539237571E-47,0.1806574222720938,0.946,0.96,9.846128392755707E-43
CAV1,5.827232701244928E-47,-0.21715667676696493,0.482,0.405,1.4050040765971646E-42
NAA20,9.960530249707914E-47,0.2284091262646305,0.618,0.503,2.401583448507075E-42
UBC,1.0655498086790425E-46,0.22348475766297193,0.976,0.983,2.5691471437060394E-42
IGFBP2,1.2116252082085544E-46,-0.28114107119229853,0.077,0.186,2.921349539511646E-42
PSME1,1.303094132951129E-46,0.18045224855746866,0.694,0.634,3.1418902639584674E-42
TMPRSS4,1.9213261149524055E-46,0.20197951086387372,0.406,0.234,4.632509395761745E-42
MIR205HG,2.679274309864456E-46,-0.5101654429883913,0.603,0.622,6.45999828851419E-42
CLDN11,2.7848149140740694E-46,-0.2018956066321513,0.037,0.136,6.714467239323989E-42
RPSA,3.248382847877836E-46,-0.19300348332908568,0.945,0.967,7.83217588451825E-42
SSPN,5.399421096532866E-46,-0.11633038375034796,0.046,0.154,1.3018544205850392E-41
FOXP1,8.467897608124847E-46,-0.28872076658578144,0.367,0.48,2.0416947922949818E-41
RPL6,9.132268749233106E-46,-0.1694047130726175,0.994,0.993,2.2018813181275942E-41
ZEB1,2.200916115830809E-45,-0.10776586490737487,0.03,0.125,5.306628846879664E-41
LPP,2.3759073528766222E-45,-0.16162502006489188,0.224,0.392,5.728550218520823E-41
CDK6,7.109429523596034E-45,-0.18252035259959484,0.145,0.286,1.7141545524342398E-40
RPL23A,7.573774709081403E-45,-0.17623864083689256,0.997,0.997,1.8261128201066169E-40
KRT7,1.3396908341409762E-44,0.22914703436741712,0.881,0.798,3.2301285701973076E-40
PLXDC2,1.4199950453621732E-44,-0.11548269078232026,0.035,0.132,3.423750053872736E-40
MICOS10,1.5581660807463346E-44,0.20357054847528688,0.762,0.68,3.756894237287487E-40
AC245041.2,2.165443429227332E-44,-0.18395783288212236,0.187,0.312,5.22110065221002E-40
S100A10,3.0114483229162193E-44,0.2115270691869835,0.964,0.949,7.260903051383296E-40
RPS21,4.060068623072573E-44,-0.16504370017951686,0.997,0.992,9.78923145709028E-40
POLR2K,1.1629845340684033E-43,0.20135520486399328,0.767,0.632,2.8040720100923274E-39
PTGS2,1.378528388069976E-43,-0.19139825739744407,0.049,0.152,3.323769796475519E-39
RPS7,1.3797470522792024E-43,-0.1647521829652474,0.994,0.996,3.326708117750385E-39
TCEAL9,2.081030193180557E-43,-0.24018174560010364,0.451,0.588,5.017571898777642E-39
BPTF,2.58596276908632E-43,-0.15216962861281308,0.163,0.316,6.235014832544026E-39
COL1A1,5.823352642399687E-43,-0.5362685425386883,0.154,0.276,1.4040685556089886E-38
STMN1,6.3875226554557E-43,0.2528250650022864,0.47,0.468,1.5400955874569238E-38
RPL21,7.14711777246077E-43,-0.25013194794672833,0.988,0.99,1.7232415661180163E-38
RPL10A,7.217445554214049E-43,-0.20094095128208167,0.986,0.991,1.7401982975765492E-38
AUXG01000058.1,9.35448570464409E-43,-0.11089851229118436,0.014,0.087,2.2554600482467363E-38
RPL35A,1.389015848459465E-42,-0.1613162965948356,0.997,1.0,3.349056112220616E-38
MEST,2.2930520683076138E-42,-0.18677685697456606,0.118,0.252,5.528777841896487E-38
SYNPO2,2.500879111227748E-42,-0.0873234484979627,0.007,0.071,6.029869625081223E-38
RPS29,3.118223893145499E-42,-0.19913120522485706,0.997,0.997,7.518349628763113E-38
TM4SF1,4.7446828932479347E-42,0.2433086872825294,0.868,0.87,1.1439904923910095E-37
HSPB1,5.766806999665565E-42,0.1942189483849872,0.979,0.982,1.3904348356893645E-37
CHMP2A,6.111739965330736E-42,0.16199056384851673,0.635,0.568,1.4736016230408938E-37
ATP6V1F,6.647759969738569E-42,0.17683726210408285,0.548,0.425,1.6028414063036664E-37
COL4A5,8.278408054326499E-42,-0.11612230332945385,0.039,0.135,1.9960069659786624E-37
NDUFB1,8.567352453478739E-42,0.12648070284350288,0.753,0.767,2.065674350058259E-37
MYL6,1.2018781136734716E-41,0.19188958027607939,0.982,0.981,2.8978483198781074E-37
NUAK1,1.4040716860246913E-41,-0.11490832785227564,0.029,0.117,3.385357242174133E-37
PTTG1,1.9848248964279162E-41,0.43641874339647047,0.368,0.228,4.785611307777349E-37
PCCA-DT,2.1261304071823165E-41,-0.13834337903983068,0.106,0.236,5.1263130247572836E-37
ITGA6,2.8804887773781953E-41,-0.20867244772441723,0.299,0.436,6.945146491136567E-37
GNG5,2.910723055595089E-41,0.15984539130202546,0.882,0.87,7.018044359345319E-37
TMEM165,2.931811077005915E-41,0.17921137181883068,0.558,0.461,7.068889687768961E-37
AIG1,4.5608057060263573E-41,-0.225360867537037,0.314,0.447,1.099655863780015E-36
SEZ6L2,6.395938769115025E-41,-0.1124694436240437,0.064,0.176,1.5421247966213238E-36
SOX4,6.665054673581904E-41,-0.3446631986722064,0.485,0.613,1.607011332347333E-36
TGM2,8.160684000640308E-41,-0.24125475659895246,0.511,0.645,1.967622519394385E-36
ATP6V0B,1.02816981269872E-40,0.18580388681444593,0.663,0.56,2.479020235397884E-36
S100A14,1.350147654578999E-40,0.05825726072466786,0.649,0.498,3.2553410099554245E-36
LRIG3,1.4254235383409744E-40,-0.12980933121909768,0.076,0.19,3.436838693293923E-36
SPINT2,2.312748726383248E-40,0.22766258946571627,0.9,0.888,5.576268454182649E-36
MPHOSPH8,2.7628803818518818E-40,-0.137297205784293,0.164,0.31,6.661580888683072E-36
ARHGDIB,3.1609153014943346E-40,0.1959795986499535,0.307,0.173,7.62128288343299E-36
ITIH5,3.480898728921404E-40,-0.2931663894812718,0.159,0.15,8.392794925302396E-36
KMT2A,4.212215940069268E-40,-0.15072052801685148,0.171,0.32,1.0156073853101012E-35
COL5A1,4.336658822544567E-40,-0.12513050401032216,0.042,0.14,1.0456118087037206E-35
RPS15A,5.693632284179234E-40,-0.16821721612462692,0.998,0.998,1.372791680038455E-35
MBNL2,6.2530677053460965E-40,-0.13290222071392352,0.126,0.262,1.5076771544359973E-35
C8G,6.687040105918212E-40,-0.22392068059988834,0.032,0.104,1.61231223993794E-35
PSENEN,8.766217551835325E-40,0.16233411993134345,0.592,0.481,2.1136227139230153E-35
FAM83A,1.1975252251134551E-39,-0.07372109864105936,0.47,0.372,2.8873530702710516E-35
KDM5A,1.515972507897464E-39,-0.16416209753365002,0.187,0.336,3.6551613137915754E-35
RPL27,1.6414589795568658E-39,-0.14637938964020947,0.989,0.987,3.957721745609559E-35
S100A8,1.8022343004057147E-39,0.3680417885164572,0.212,0.09,4.3453671217082186E-35
DST,1.8558142236202023E-39,-0.27434569802191466,0.493,0.609,4.47455367457067E-35
TCF7L1,2.3110673559604575E-39,-0.11875823716249165,0.064,0.173,5.57221450195626E-35
YPEL5,2.613614398036268E-39,0.19536761415671655,0.383,0.242,6.301685675105245E-35
SGCE,3.004334696177742E-39,-0.14812594008185717,0.124,0.257,7.243751385954154E-35
RPS19,3.02537720201104E-39,-0.15502264744067595,1.0,1.0,7.294486971768818E-35
CMTM3,5.297337700896457E-39,-0.18928217858286386,0.162,0.303,1.2772410930631447E-34
NOP10,6.311481564531141E-39,0.13961226202283328,0.829,0.828,1.5217613200241035E-34
RPS15,8.910219866298803E-39,-0.155914607790689,0.999,0.999,2.1483431119633045E-34
RPS2,1.1728974284777926E-38,-0.22647106049377008,0.998,0.999,2.8279729898028057E-34
IFI27,1.6556896413476061E-38,0.4001954039755302,0.733,0.617,3.992033294253213E-34
ZFAS1,1.7226935740606632E-38,-0.1604523888644167,0.835,0.921,4.153586476417665E-34
BLOC1S1,1.881604104532672E-38,0.1712285539815438,0.521,0.387,4.536735656438726E-34
ANXA4,1.9683738885895599E-38,-0.20587636829258515,0.466,0.404,4.745946282778288E-34
PRDX5,2.2991891066356984E-38,0.1945885985889475,0.874,0.876,5.543574855009333E-34
PCSK1N,2.3738749841512456E-38,-0.3327260903259196,0.089,0.186,5.723649974287068E-34
NEAT1,2.7221984546726333E-38,0.01976237552074389,0.9,0.976,6.563492694061186E-34
NPW,2.9430835202583796E-38,-0.2551735521776242,0.079,0.181,7.096068675694979E-34
LAMB1,4.933687388697508E-38,-0.10630707985461899,0.051,0.151,1.189561366288856E-33
KYNU,5.15954294761522E-38,0.17316712179990273,0.313,0.175,1.2440174000995058E-33
SEC61G,6.383809320097488E-38,0.1826390190456273,0.831,0.796,1.5392002651687053E-33
RPL31,6.425902292739646E-38,-0.1420702933353324,0.998,0.996,1.549349301802456E-33
DYNC1LI2,1.2623936566896452E-37,-0.17683823582640268,0.245,0.394,3.0437573456444033E-33
RPS25,1.3434845559087417E-37,-0.15943802667913198,0.997,0.995,3.239275612751567E-33
PHLDA2,1.4994494227995713E-37,0.2911857626575103,0.83,0.805,3.615322503312047E-33
LAMTOR5,2.1371543663169994E-37,0.15500122313473952,0.721,0.661,5.152892892626917E-33
CDKN2A,2.2126243161885824E-37,-0.24362216928283348,0.035,0.107,5.334858488762291E-33
RPL17,2.2922299175816326E-37,-0.21487732877373444,0.978,0.985,5.526795554281074E-33
ROBO1,2.510057188813401E-37,-0.1057149694719039,0.045,0.14,6.051998887947991E-33
RPS17,2.8239888622606556E-37,-0.16639406979286742,1.0,0.998,6.808919545796667E-33
PRH1,3.3289023302705844E-37,-0.1440258911867986,0.113,0.232,8.026316408515406E-33
BCAT1,3.607122155531252E-37,-0.2109587888929999,0.14,0.271,8.697132229201402E-33
ZBTB20,4.703902761313653E-37,-0.11802493143373635,0.167,0.302,1.1341579947803348E-32
GPC4,4.740656369196359E-37,-0.11960413589904689,0.066,0.172,1.1430196571769342E-32
MUC20,4.945418992297966E-37,0.17421509246050818,0.274,0.143,1.1923899732329626E-32
SNHG14,5.234528538053003E-37,-0.17459464836153035,0.142,0.273,1.2620971758099596E-32
LGALS1,5.32694180733336E-37,0.30081962557289543,0.56,0.653,1.2843789391661465E-32
SNRPN,6.355335891208222E-37,-0.14309478673671552,0.193,0.34,1.5323350367292143E-32
COX8A,6.6616013555338766E-37,0.15255309732644107,0.849,0.843,1.606178702832773E-32
ALG1L,8.600124473338371E-37,0.09953481428974079,0.155,0.056,2.0735760117666146E-32
NDUFC2,8.862966237684482E-37,0.14115143372174466,0.794,0.777,2.1369497895681053E-32
BSG,1.1152282093033297E-36,0.14288502508071677,0.799,0.806,2.688926735451258E-32
PSMA4,1.1960619146802276E-36,0.15462298208147818,0.675,0.645,2.8838248824854966E-32
LINC01268,1.288703953211973E-36,-0.07921973637770807,0.017,0.087,3.1071941015893885E-32
UQCRQ,1.3744213323998676E-36,0.16146825796470576,0.924,0.914,3.313867274549321E-32
FTL,1.4243382193023936E-36,0.35239881634036285,0.992,0.992,3.4342218805600013E-32
OAZ1,1.5409262121102986E-36,0.19856240474814402,0.967,0.968,3.7153271900191407E-32
ROMO1,1.7647710489537516E-36,0.13910033316342052,0.652,0.633,4.2550394761323904E-32
PSME2,1.7809483795680066E-36,0.1850686197385265,0.642,0.569,4.294044637976421E-32
S100A1,2.3436951763510963E-36,-0.39861702496188345,0.043,0.111,5.650883439700128E-32
CD63,4.1039214495709804E-36,0.17766839954130975,0.96,0.958,9.89496500706059E-32
PPFIBP1,4.3478615155736905E-36,-0.17717255561979223,0.178,0.309,1.0483128900199726E-31
RBMS1,4.6226874648171455E-36,-0.17186883822378557,0.268,0.412,1.1145761746420619E-31
BMP4,4.924075327381098E-36,-0.15608161827470074,0.074,0.176,1.1872438021848565E-31
OCIAD2,8.902080108403876E-36,0.19805379813085033,0.764,0.685,2.1463805349372586E-31
